Company,Year,DPR,DivYield,ROE,Log_Assets,Beta
AZN,2022,1.3272506082725062,0.0452307660416861,0.08877608877608878,25.292632663969226,0.6795616351136636
AZN,2023,0.7524769101595298,0.04431412494190014,0.1521344812610173,25.339563878055554,0.2597168441866654
AZN,2024,0.6579957356076759,0.04449464122651031,0.17248565684303438,25.367993217932955,-0.4087406402110226
BAC,2022,0.3115373437954083,0.002810536233665151,0.10076245346764423,28.74661342463134,1.256387557918326
BAC,2023,0.3454476335297472,0.002857411487693509,0.0901949623859062,28.78794979587002,1.4267186041639026
BAC,2024,0.3523152782412042,0.0029138695961333197,0.09175644553906444,28.813146698198235,1.239263482292369
BTI,2022,0.7373237323732373,0.032009951415211076,0.0884460248381276,25.7572660333474,0.2040211187958826
BTI,2023,-0.35184798496554603,0.04258061255433135,-0.27331354868165736,25.499999923075496,0.533686388775035
BTI,2024,1.6991525423728813,0.043843934768164575,0.06180126100356546,25.501540230178847,0.9454857289603552
CAT,2020,0.7481654436290861,0.02863745467545069,0.1949538301469632,25.084119906387492,0.5025069673764815
CAT,2021,0.35937740792109724,0.0281666324447719,0.3928917413417292,25.139609353701026,1.226848427041408
CAT,2022,0.3639075316927666,0.029776796065557765,0.42193694544081556,25.12928972055016,1.798736452339926
CAT,2023,0.24799225931301402,0.02929946499611322,0.5299184740809106,25.19463030697249,1.7028603717834851
CAT,2024,0.24518161601186064,0.030149036051228293,0.5533693601794054,25.197917230726116,1.8061292027980775
CVX,2020,-1.741114919718564,0.04024771675215814,-0.04176272923165017,26.20302937725245,1.757851488221754
CVX,2021,0.651456,0.04249483374037197,0.11165499499785622,26.20196538090735,0.4222653844407386
CVX,2022,0.30926265332017483,0.04255963121194836,0.22132150122939054,26.275096878325506,1.3562671176540901
CVX,2023,0.5304880902241564,0.04332803326810176,0.13196524402670307,26.290204773207485,0.4700067558513732
CVX,2024,0.6681954589207859,0.045929368174423404,0.11531304478411042,26.272100647601157,0.8007812213120759
D,2020,-2.8780062032930127,0.029956728012095302,-0.015154378141415669,25.286623955120064,0.3633384036032795
D,2021,0.5989997057958223,0.020443819660608493,0.11753924891071305,25.324327594889958,1.443202580362104
D,2022,1.8547439126784215,0.02119087132948975,0.04271726265198522,25.369990549087937,0.3251213529606306
GE,2020,0.11358457493426818,0.0025319791226357797,0.15388142633651616,26.269267160694223,0.9457597955585938
GE,2021,-0.09073694177055389,0.002891277894546296,-0.15228414197486362,26.015937295307623,0.5696574942524993
GE,2022,1.8961424332344214,0.0033836557249442675,0.009652841429880843,25.96421359088302,1.7888532551324021
GE,2023,0.06211769668846235,0.003398691301889188,0.3314689226036496,25.87830157428228,1.299270784607482
GE,2024,0.15377574370709382,0.008185738299997563,0.3350370559672885,25.53659587723457,0.6307598907480242
HSBC,2022,0.44797223471945496,0.0025319791226357797,0.08749219773607823,28.712584223087042,0.5080842154506241
HSBC,2023,0.4458420090936132,0.0034528184469754435,0.12697958765222928,28.7424433392524,0.8798822726684694
HSBC,2024,0.6400600525459778,0.005087091753263455,0.12963513593875864,28.73529998582313,-0.6113274162544248
IBM,2020,1.037030411449016,0.037167165691057956,0.2697095435684647,25.77293592947898,0.986616662070145
IBM,2021,1.0703465087933135,0.04656747625035984,0.3023108911933463,25.60608291093315,0.5106922132885126
IBM,2022,3.816351433801098,0.04915713780502181,0.07442895418010081,25.569380198874217,0.5214354759615608
IBM,2023,0.805225969870684,0.044661673038102916,0.33169717873883436,25.630309420496705,0.5625675817556908
IBM,2024,1.0204183266932272,0.044811045663964544,0.2199182242990654,25.64453060982296,1.5957237720503339
